"","PC1","PC2","PC3","PC4"
"Cliona.sp",-0.135794765605442,0.2025676644829,0.105214627461038,-0.0654576168011771
"Serpulidae",0.0312326497151828,-0.308639838414151,-0.137116020805634,-0.0591544911092444
"Protula.sp.Serpula.vermicularis",0.0148903915806292,-0.249099206846958,-0.15030892770659,-0.082282280601571
"Palmophyllum.crassum",0.334902835636675,0.0120319740622714,0.0163197509374822,-0.115633318778052
"Encrusting.calcareous.no.id",0.201112079865204,0.0812862703146911,-0.212539309224937,-0.248155412392312
"Hildebrandia.rubra",0.263629256904544,0.00704526519072339,-0.14999116009416,-0.216899765339638
"Lithophyllum.stictaeforme",0.263629256904544,0.00704526519072339,-0.14999116009416,-0.216899765339638
"Peyssonnelia.sp",0.263629256904544,0.00704526519072339,-0.14999116009416,-0.216899765339638
"Mesophyllum.alternans",0.263629256904544,0.00704526519072339,-0.14999116009416,-0.216899765339638
"Dead.decomposing",0.0646587068792738,-0.318881807481501,0.202531599480112,0.10897578942782
"Pycnoclavella.sp",0.025315594472805,-0.185696590237179,0.19930810741349,0.106757020827222
"Filograna.implexa.Salamacina.dysteri",-0.0544004792587078,-0.297650067407258,0.025446458423968,-0.0868676912497461
"Mixture.complex",0.0545647395039048,-0.0289354844570653,0.180320593009043,-0.206537145518116
"Aplidium.conicum",-0.0714325249678433,-0.0558249545975534,0.128213413556124,0.0383498801670422
"Didemnum.vexillum",-0.0714325249678433,-0.0558249545975534,0.128213413556124,0.0383498801670422
"Aplidium.fuscum",-0.0714325249678433,-0.0558249545975534,0.128213413556124,0.0383498801670422
"Disporella.hispida",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Smittoidea.sp",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Schizomavella.mamillata",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Turbicellepora.sp",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Schizomavella.linearis",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Lichenophora.radiata",-0.144307714650704,-0.178147263582635,-0.0220020546179476,-0.137501622512657
"Invertebrate.mixture.thin.sponges.layers",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Other.sponge.2.black.encrusting",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Other.sponge.5.grey.white.emcrusting",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Spongia.virgultosa",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Spongosorites.intrincatus",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Other.sponge.4.yellow.encrusting",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Plakina.sp",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Fasciospongia.cavernosa",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Other.sponge.encrusting.red",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Other.sponge.3.orange.encrusting",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Other.sponge.encrusting.green",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Prosuberites.longispinus",-0.176880156253967,-0.0425497541781814,0.125971278008196,-0.0757276971328022
"Gregarinidra.gregaria",-0.150127896193428,-0.1669137312491,0.00234897351298773,-0.17851855399414
"Encrusting.Briozoa.no.id.Orange",-0.150127896193428,-0.1669137312491,0.00234897351298773,-0.17851855399414
"Hexadella.racovitzai",-0.213722774265725,-0.0293759919680522,0.141161003492494,-0.0960182988329598
"Dendroxea.lenis",-0.213722774265725,-0.0293759919680522,0.141161003492494,-0.0960182988329598
"Hexadella.pruvoti",-0.213722774265725,-0.0293759919680522,0.141161003492494,-0.0960182988329598
"Crella.pulvinar",-0.213722774265725,-0.0293759919680522,0.141161003492494,-0.0960182988329598
"Phorbas.tenacior",-0.213722774265725,-0.0293759919680522,0.141161003492494,-0.0960182988329598
"Crambe.crambe",-0.213722774265725,-0.0293759919680522,0.141161003492494,-0.0960182988329598
"Filamentous.red.algae.falkenbergia.type",0.471355671242607,-0.0388563889164121,0.000836338106221908,0.0811876530350904
"Bryopsis.type",0.434232985104461,-0.00451343546513076,0.0108118812992871,0.0583554201609614
"Chondria.type",0.434232985104461,-0.00451343546513076,0.0108118812992871,0.0583554201609614
"Aglaophenia.sp",0.0556739106759367,-0.291610962892853,0.165156555266146,0.150992814770243
"Hydrozoa.turf",0.0556739106759367,-0.291610962892853,0.165156555266146,0.150992814770243
"Eudendrium.sp",0.0556739106759367,-0.291610962892853,0.165156555266146,0.150992814770243
"Dynamena.Laomedea.type",0.0556739106759367,-0.291610962892853,0.165156555266146,0.150992814770243
"Algal.turf",0.301877666906225,0.0104347809394811,0.224240073342844,-0.0306962289042649
"Caulerpacylindracea",0.273413438200329,0.133442340733284,0.177050289693851,-0.0314047138321854
"Flabellia.petiolata",0.155777878556254,0.215975727518765,0.083304077073552,-0.174932658584689
"Halimeda.tuna",0.146366510736409,0.208621309527581,0.0422141746616125,-0.162075115155119
"Rhodymenia.ardissonei",0.432440289214519,-0.00479299507265012,-0.029264026538482,0.0545115696357087
"Red.macroalgae.laminar.no.id",0.432440289214519,-0.00479299507265012,-0.029264026538482,0.0545115696357087
"Erythroglossum.sandrianum",0.432440289214519,-0.00479299507265012,-0.029264026538482,0.0545115696357087
"Brown.macroalgae.erect.no.id",0.422134745202108,0.033372204054123,-0.0156032033828546,0.0906592653853454
"Dictyota.sp",0.422134745202108,0.033372204054123,-0.0156032033828546,0.0906592653853454
"Dictyopteris.membranacea",0.422134745202108,0.033372204054123,-0.0156032033828546,0.0906592653853454
"Dictyota.dichotoma.var.intrincata",0.422134745202108,0.033372204054123,-0.0156032033828546,0.0906592653853454
"Padina.pavonica",0.403141336296413,0.0735566313558254,0.00868829762744291,0.0687482780400295
"Corallina.elongata",0.324361748129526,0.157298450603653,-0.175720466649023,-0.0311969164104814
"Liagora.sp",0.324361748129526,0.157298450603653,-0.175720466649023,-0.0311969164104814
"Haliptilon.virgatum",0.324361748129526,0.157298450603653,-0.175720466649023,-0.0311969164104814
"Erect.corallinacea.no.id",0.324361748129526,0.157298450603653,-0.175720466649023,-0.0311969164104814
"Idmidronea.sp",-0.108408556783235,-0.220269978835266,-0.0159507769795922,-0.0734719943153802
"Cellaria.sp",-0.108408556783235,-0.220269978835266,-0.0159507769795922,-0.0734719943153802
"Caberea.boryi",-0.108408556783235,-0.220269978835266,-0.0159507769795922,-0.0734719943153802
"Celleporina.sp",-0.108408556783235,-0.220269978835266,-0.0159507769795922,-0.0734719943153802
"Scrupocellaria.sp",-0.108408556783235,-0.220269978835266,-0.0159507769795922,-0.0734719943153802
"Miniacina.mineacea",-0.108408556783235,-0.220269978835266,-0.0159507769795922,-0.0734719943153802
"Crisia.sp",-0.108408556783235,-0.220269978835266,-0.0159507769795922,-0.0734719943153802
"Dentiporella.sardonica",-0.127719416008422,-0.146255797134798,-0.0418313666620694,-0.0450717215204634
"Reteporella.grimaldii",-0.190404819962436,-0.0853375909845419,-0.108946940511315,-0.0300268465221883
"Parazoanthus.axinellae",-0.0790414422060473,-0.0519701137525857,0.0403000715350529,0.103121311762333
"Hoplangia.durotrix",-0.250826297208388,0.00194158167827376,-0.140869378632079,-0.0106459387548585
"Pentapora.fascialis",-0.196130258011557,-0.0717328959948432,-0.0365135249942748,-0.102391188382125
"Chartella.tenella",-0.211516109919681,-0.064403225000116,-0.0440995835373915,-0.0976168893686743
"Adeonella.calveti",-0.211516109919681,-0.064403225000116,-0.0440995835373915,-0.0976168893686743
"Corynactis.viridis",0.0426119550646242,-0.0874896494182056,-0.134718328733542,0.18804924165694
"Leptopsammia.pruvoti",-0.11977700299557,-0.0184508919756546,-0.333857608464932,0.0845541722454102
"Caryophyllia.inornata",-0.132400153531761,-0.0137669075274921,-0.354366305435908,0.0904837220092903
"Corticium.candelabrum",-0.185196895102972,0.0359171045755466,0.111728374227242,0.0105729816609305
"Oscarella.sp",-0.185196895102972,0.0359171045755466,0.111728374227242,0.0105729816609305
"Haliclona.fulva",-0.185196895102972,0.0359171045755466,0.111728374227242,0.0105729816609305
"Hemimycale.columella",-0.221338576859541,0.0846664401276817,0.058933000342639,0.047370051243226
"Dysidea.avara",-0.221338576859541,0.0846664401276817,0.058933000342639,0.047370051243226
"Pleraplysilla.spinifera",-0.221338576859541,0.0846664401276817,0.058933000342639,0.047370051243226
"Cacospongia.scalaris.type.",-0.205877718951193,0.0479863617566854,0.116987234329331,-0.00643625693847011
"Haliclona.mediterranea",-0.215554525500408,0.0786627101256785,0.107538066335106,0.0341893507575347
"Haliclona.mucosa",-0.215554525500408,0.0786627101256785,0.107538066335106,0.0341893507575347
"Petrosia.ficiformis",-0.210454578992018,0.361247411440023,0.0428754201589211,-0.0060277738705787
"Halocynthia.papillosa",0.0648925637599668,-0.0319651111497734,-0.0430107659227359,0.285303707017407
"Clavelina.dellavallei",-0.0301880823778741,-0.0434436846440906,0.101044363666301,0.224359599212995
"Clavelina.lepadiformis",-0.0301880823778741,-0.0434436846440906,0.101044363666301,0.224359599212995
"Valonia.macrophysa",0.333547598006237,0.0881778498619096,-0.0415377907299611,-0.00721304454852411
"Clathrina.coriacea",-0.187929468583186,0.083006155241089,0.0491990387145383,0.0916039512163196
"Clathrina.clathrus",-0.187929468583186,0.083006155241089,0.0491990387145383,0.0916039512163196
"Axinella.damicornis",-0.221849935348991,0.115483284606263,0.0595989126604629,0.0605001406809065
"Acanthella.acuta",-0.221849935348991,0.115483284606263,0.0595989126604629,0.0605001406809065
"Aplysina.cavernicola",-0.282583513914695,0.158586046533383,0.0490943079421833,0.0669412240162329
"Other.sponge.6.grey.white.massive",-0.282583513914695,0.158586046533383,0.0490943079421833,0.0669412240162329
"Ircinia.oros.type.Massive.black",-0.282583513914695,0.158586046533383,0.0490943079421833,0.0669412240162329
"Agelas.oroides",-0.282583513914695,0.158586046533383,0.0490943079421833,0.0669412240162329
"Chondrosia.reniformis",-0.282583513914695,0.158586046533383,0.0490943079421833,0.0669412240162329
"Ircinia.variabilis",-0.175420485313328,0.339870274702455,0.0902017913526367,-0.0217478407510833
"Sargassum.type",0.354511871324828,0.180227813208172,-0.13108871550607,0.159145162389108
"Myriapora.truncata",-0.244259294434648,-0.00510734981401536,-0.131553981262195,-0.0272647012759707
"Corallium.rubrum",-0.334902580836925,0.169376955125165,-0.121199382289396,0.114054028176589
"Eunicella.cavolinii",-0.328200398939967,0.16089906123244,-0.0945484549492173,0.108187387902788
"Paramuricea.clavata",-0.328200398939967,0.16089906123244,-0.0945484549492173,0.108187387902788
