Species;FE
Acanthella.acuta;k243333ac323b
Adeonella.calveti;g244423ab323e
Agelas.oroides;k254433ac323b
Aglaophenia.sp;c211123ab125a
Algal.turf;c221321fa225a
Aplidium.conicum;b232323ac323a
Aplidium.fuscum;b232323ac323a
Aplysina.cavernicola;k254433ac323b
Axinella.damicornis;k243333ac323b
Brown.macroalgae.erect.no.id;e123221ca225a
Bryopsis.type;c122221ba225a
Caberea.boryi;g231123ab223e
Cacospongia.scalaris.type.;i242423ac323b
Caryophyllia.inornata;h152233ad321e
Caulerpacylindracea;d233321ba225a
Cellaria.sp;g231123ab223e
Celleporina.sp;g231123ab223e
Chartella.tenella;g244423ab323e
Chondria.type;c122221ba225a
Chondrosia.reniformis;k254433ac323b
Clathrina.clathrus;k232333ac324c
Clathrina.coriacea;k232333ac324c
Clavelina.dellavallei;j222233ac224a
Clavelina.lepadiformis;j222233ac224a
Cliona.sp;a241332gc322b
Corallina.elongata;f132231da224d
Corallium.rubrum;l254433ad421c
Corticium.candelabrum;i242323ac323b
Corynactis.viridis;h142223ad324a
Crambe.crambe;b241523ac323b
Crella.pulvinar;b241523ac323b
Crisia.sp;g231123ab223e
Dead.decomposing;b211113ah125a
Dendroxea.lenis;b241523ac323b
Dentiporella.sardonica;g232223ab223e
Dictyopteris.membranacea;e123221ca225a
Dictyota.dichotoma.var.intrincata;e123221ca225a
Dictyota.sp;e123221ca225a
Didemnum.vexillum;b232323ac323a
Disporella.hispida;b241223ab323e
Dynamena.Laomedea.type;c211123ab125a
Dysidea.avara;i242333ac323b
Encrusting.Briozoa.no.id.Orange;b241423ab223e
Encrusting.calcareous.no.id;b141431da223e
Erect.corallinacea.no.id;f132231da224d
Erythroglossum.sandrianum;e122221da225a
Eudendrium.sp;c211123ab125a
Eunicella.cavolinii;l255533ad523c
Fasciospongia.cavernosa;b241323ac323b
Filamentous.red.algae.falkenbergia.type;c112221da125a
Filograna.implexa.Salamacina.dysteri;b221213ab224e
Flabellia.petiolata;d233321ba323d
Gregarinidra.gregaria;b241423ab223e
Haliclona.fulva;i242323ac323b
Haliclona.mediterranea;i253323ac323b
Haliclona.mucosa;i253323ac323b
Halimeda.tuna;d243221ba323d
Haliptilon.virgatum;f132231da224d
Halocynthia.papillosa;j123233ac224a
Hemimycale.columella;i242333ac323b
Hexadella.pruvoti;b241523ac323b
Hexadella.racovitzai;b241523ac323b
Hildebrandia.rubra;b142321da224e
Hoplangia.durotrix;g242333ad322e
Hydrozoa.turf;c211123ab125a
Idmidronea.sp;g231123ab223e
Invertebrate.mixture.thin.sponges.layers;b241323ac323b
Ircinia.oros.type.Massive.black;k254433ac323b
Ircinia.variabilis;k254433ec323b
Leptopsammia.pruvoti;h152233ad312e
Liagora.sp;f132231da224d
Lichenophora.radiata;b241223ab323e
Lithophyllum.stictaeforme;b142321da224e
Mesophyllum.alternans;b142321da224e
Miniacina.mineacea;g231123ab223e
Mixture.complex;b231422fg224f
Myriapora.truncata;l243333ab321e
Oscarella.sp;i242323ac323b
Other.sponge.2.black.encrusting;b241323ac323b
Other.sponge.3.orange.encrusting;b241323ac323b
Other.sponge.4.yellow.encrusting;b241323ac323b
Other.sponge.5.grey.white.emcrusting;b241323ac323b
Other.sponge.6.grey.white.massive;k254433ac323b
Other.sponge.encrusting.green;b241323ac323b
Other.sponge.encrusting.red;b241323ac323b
Padina.pavonica;e123321ca225a
Palmophyllum.crassum;b141321ba224a
Paramuricea.clavata;l255533ad523c
Parazoanthus.axinellae;g242323ad324a
Pentapora.fascialis;g243423ab323e
Petrosia.ficiformis;i253532ec321c
Peyssonnelia.sp;b142321da224e
Phorbas.tenacior;b241523ac323b
Plakina.sp;b241323ac323b
Pleraplysilla.spinifera;i242333ac323b
Prosuberites.longispinus;b241323ac323b
Protula.sp.Serpula.vermicularis;b131223ab223e
Pycnoclavella.sp;b221123ac225a
Red.macroalgae.laminar.no.id;e122221da225a
Reteporella.grimaldii;g242233ab323e
Rhodymenia.ardissonei;e122221da225a
Sargassum.type;l134231ca225a
Schizomavella.linearis;b241223ab323e
Schizomavella.mamillata;b241223ab323e
Scrupocellaria.sp;g231123ab223e
Serpulidae;b121123ab223e
Smittoidea.sp;b241223ab323e
Spongia.virgultosa;b241323ac323b
Spongosorites.intrincatus;b241323ac323b
Turbicellepora.sp;b241223ab323e
Valonia.macrophysa;k132221ba223a