"Species","FE","Morphology","Solitary.colonial","Maximum.longevity","Height","Width","Epibiosis","Energetic.resource","Photosyntetic.pigment","Feeding","Age.at.reproduction","Growth.rates","Physicial.defences"
"Cliona.sp","a241332gc322b","a",2,4,1,3,3,2,"g","c",3,2,"b"
"Serpulidae","b121123ab223e","b",1,2,1,1,2,3,"a","b",2,3,"e"
"Protula.sp.Serpula.vermicularis","b131223ab223e","b",1,3,1,2,2,3,"a","b",2,3,"e"
"Palmophyllum.crassum","b141321ba224a","b",1,4,1,3,2,1,"b","a",2,4,"a"
"Encrusting.calcareous.no.id","b141431da223e","b",1,4,1,4,3,1,"d","a",2,3,"e"
"Mesophyllum.alternans","b142321da224e","b",1,4,2,3,2,1,"d","a",2,4,"e"
"Lithophyllum.stictaeforme","b142321da224e","b",1,4,2,3,2,1,"d","a",2,4,"e"
"Hildebrandia.rubra","b142321da224e","b",1,4,2,3,2,1,"d","a",2,4,"e"
"Peyssonnelia.sp","b142321da224e","b",1,4,2,3,2,1,"d","a",2,4,"e"
"Dead.decomposing","b211113ah125a","b",2,1,1,1,1,3,"a","h",1,5,"a"
"Pycnoclavella.sp","b221123ac225a","b",2,2,1,1,2,3,"a","c",2,5,"a"
"Filograna.implexa.Salamacina.dysteri","b221213ab224e","b",2,2,1,2,1,3,"a","b",2,4,"e"
"Mixture.complex","b231422fg224f","b",2,3,1,4,2,2,"f","g",2,4,"f"
"Aplidium.conicum","b232323ac323a","b",2,3,2,3,2,3,"a","c",3,3,"a"
"Didemnum.vexillum","b232323ac323a","b",2,3,2,3,2,3,"a","c",3,3,"a"
"Aplidium.fuscum","b232323ac323a","b",2,3,2,3,2,3,"a","c",3,3,"a"
"Schizomavella.linearis","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Turbicellepora.sp","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Lichenophora.radiata","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Smittoidea.sp","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Disporella.hispida","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Schizomavella.mamillata","b241223ab323e","b",2,4,1,2,2,3,"a","b",3,3,"e"
"Prosuberites.longispinus","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.5.grey.white.emcrusting","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Spongia.virgultosa","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.encrusting.red","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.4.yellow.encrusting","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Plakina.sp","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Spongosorites.intrincatus","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Invertebrate.mixture.thin.sponges.layers","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.3.orange.encrusting","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.2.black.encrusting","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Other.sponge.encrusting.green","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Fasciospongia.cavernosa","b241323ac323b","b",2,4,1,3,2,3,"a","c",3,3,"b"
"Gregarinidra.gregaria","b241423ab223e","b",2,4,1,4,2,3,"a","b",2,3,"e"
"Encrusting.Briozoa.no.id.Orange","b241423ab223e","b",2,4,1,4,2,3,"a","b",2,3,"e"
"Hexadella.pruvoti","b241523ac323b","b",2,4,1,5,2,3,"a","c",3,3,"b"
"Dendroxea.lenis","b241523ac323b","b",2,4,1,5,2,3,"a","c",3,3,"b"
"Crella.pulvinar","b241523ac323b","b",2,4,1,5,2,3,"a","c",3,3,"b"
"Crambe.crambe","b241523ac323b","b",2,4,1,5,2,3,"a","c",3,3,"b"
"Phorbas.tenacior","b241523ac323b","b",2,4,1,5,2,3,"a","c",3,3,"b"
"Hexadella.racovitzai","b241523ac323b","b",2,4,1,5,2,3,"a","c",3,3,"b"
"Filamentous.red.algae.falkenbergia.type","c112221da125a","c",1,1,2,2,2,1,"d","a",1,5,"a"
"Bryopsis.type","c122221ba225a","c",1,2,2,2,2,1,"b","a",2,5,"a"
"Chondria.type","c122221ba225a","c",1,2,2,2,2,1,"b","a",2,5,"a"
"Dynamena.Laomedea.type","c211123ab125a","c",2,1,1,1,2,3,"a","b",1,5,"a"
"Aglaophenia.sp","c211123ab125a","c",2,1,1,1,2,3,"a","b",1,5,"a"
"Hydrozoa.turf","c211123ab125a","c",2,1,1,1,2,3,"a","b",1,5,"a"
"Eudendrium.sp","c211123ab125a","c",2,1,1,1,2,3,"a","b",1,5,"a"
"Algal.turf","c221321fa225a","c",2,2,1,3,2,1,"f","a",2,5,"a"
"Caulerpacylindracea","d233321ba225a","d",2,3,3,3,2,1,"b","a",2,5,"a"
"Flabellia.petiolata","d233321ba323d","d",2,3,3,3,2,1,"b","a",3,3,"d"
"Halimeda.tuna","d243221ba323d","d",2,4,3,2,2,1,"b","a",3,3,"d"
"Red.macroalgae.laminar.no.id","e122221da225a","e",1,2,2,2,2,1,"d","a",2,5,"a"
"Erythroglossum.sandrianum","e122221da225a","e",1,2,2,2,2,1,"d","a",2,5,"a"
"Rhodymenia.ardissonei","e122221da225a","e",1,2,2,2,2,1,"d","a",2,5,"a"
"Brown.macroalgae.erect.no.id","e123221ca225a","e",1,2,3,2,2,1,"c","a",2,5,"a"
"Dictyota.dichotoma.var.intrincata","e123221ca225a","e",1,2,3,2,2,1,"c","a",2,5,"a"
"Dictyota.sp","e123221ca225a","e",1,2,3,2,2,1,"c","a",2,5,"a"
"Dictyopteris.membranacea","e123221ca225a","e",1,2,3,2,2,1,"c","a",2,5,"a"
"Padina.pavonica","e123321ca225a","e",1,2,3,3,2,1,"c","a",2,5,"a"
"Haliptilon.virgatum","f132231da224d","f",1,3,2,2,3,1,"d","a",2,4,"d"
"Liagora.sp","f132231da224d","f",1,3,2,2,3,1,"d","a",2,4,"d"
"Erect.corallinacea.no.id","f132231da224d","f",1,3,2,2,3,1,"d","a",2,4,"d"
"Corallina.elongata","f132231da224d","f",1,3,2,2,3,1,"d","a",2,4,"d"
"Celleporina.sp","g231123ab223e","g",2,3,1,1,2,3,"a","b",2,3,"e"
"Idmidronea.sp","g231123ab223e","g",2,3,1,1,2,3,"a","b",2,3,"e"
"Caberea.boryi","g231123ab223e","g",2,3,1,1,2,3,"a","b",2,3,"e"
"Crisia.sp","g231123ab223e","g",2,3,1,1,2,3,"a","b",2,3,"e"
"Cellaria.sp","g231123ab223e","g",2,3,1,1,2,3,"a","b",2,3,"e"
"Scrupocellaria.sp","g231123ab223e","g",2,3,1,1,2,3,"a","b",2,3,"e"
"Miniacina.mineacea","g231123ab223e","g",2,3,1,1,2,3,"a","b",2,3,"e"
"Dentiporella.sardonica","g232223ab223e","g",2,3,2,2,2,3,"a","b",3,3,"e"
"Reteporella.grimaldii","g242233ab323e","g",2,4,2,2,3,3,"a","b",3,3,"e"
"Parazoanthus.axinellae","g242323ad324a","g",2,4,2,3,2,3,"a","d",3,4,"a"
"Hoplangia.durotrix","g242333ad322e","g",2,5,2,3,3,3,"a","d",3,2,"e"
"Pentapora.fascialis","g243423ab323e","g",2,4,3,4,2,3,"a","b",3,3,"e"
"Adeonella.calveti","g244423ab323e","g",2,4,4,4,2,3,"a","b",3,3,"e"
"Chartella.tenella","g244423ab323e","g",2,4,4,4,2,3,"a","b",3,3,"e"
"Corynactis.viridis","h142223ad324a","h",1,4,2,2,2,3,"a","d",3,4,"a"
"Leptopsammia.pruvoti","h152233ad312e","h",1,5,2,2,3,3,"a","d",3,2,"e"
"Caryophyllia.inornata","h152233ad321e","h",1,5,2,2,3,3,"a","d",3,1,"e"
"Haliclona.fulva","i242323ac323b","i",2,4,2,3,2,3,"a","c",3,3,"b"
"Corticium.candelabrum","i242323ac323b","i",2,4,2,3,2,3,"a","c",3,3,"b"
"Oscarella.sp","i242323ac323b","i",2,4,2,3,2,3,"a","c",3,3,"b"
"Hemimycale.columella","i242333ac323b","i",2,4,2,3,3,3,"a","c",3,3,"b"
"Pleraplysilla.spinifera","i242333ac323b","i",2,4,2,3,3,3,"a","c",3,3,"b"
"Dysidea.avara","i242333ac323b","i",2,4,2,3,3,3,"a","c",3,3,"b"
"Cacospongia.scalaris.type.","i242423ac323b","i",2,4,2,4,2,3,"a","c",3,3,"b"
"Haliclona.mucosa","i253323ac323b","i",2,5,3,3,2,3,"a","c",3,3,"b"
"Haliclona.mediterranea","i253323ac323b","i",2,5,3,3,2,3,"a","c",3,3,"b"
"Petrosia.ficiformis","i253532ec321c","i",2,5,3,5,3,2,"e","c",3,1,"c"
"Halocynthia.papillosa","j123233ac224a","j",1,2,3,2,3,3,"a","c",2,4,"a"
"Clavelina.lepadiformis","j222233ac224a","j",2,2,2,2,3,3,"a","c",2,4,"a"
"Clavelina.dellavallei","j222233ac224a","j",2,2,2,2,3,3,"a","c",2,4,"a"
"Valonia.macrophysa","k132221ba223a","k",1,3,2,2,2,1,"b","a",2,3,"a"
"Clathrina.coriacea","k232333ac324c","k",2,4,2,3,3,3,"a","c",3,4,"c"
"Clathrina.clathrus","k232333ac324c","k",2,4,2,3,3,3,"a","c",3,4,"c"
"Acanthella.acuta","k243333ac323b","k",2,4,3,3,3,3,"a","c",3,3,"b"
"Axinella.damicornis","k243333ac323b","k",2,4,3,3,3,3,"a","c",3,3,"b"
"Agelas.oroides","k254433ac323b","k",2,5,4,4,3,3,"a","c",3,3,"b"
"Aplysina.cavernicola","k254433ac323b","k",2,5,4,4,3,3,"a","c",3,3,"b"
"Other.sponge.6.grey.white.massive","k254433ac323b","k",2,5,4,4,3,3,"a","c",3,3,"b"
"Chondrosia.reniformis","k254433ac323b","k",2,5,4,4,3,3,"a","c",3,3,"b"
"Ircinia.oros.type.Massive.black","k254433ac323b","k",2,5,4,4,3,3,"a","c",3,3,"b"
"Ircinia.variabilis","k254433ec323b","k",2,5,4,4,3,2,"e","c",3,3,"b"
"Sargassum.type","l134231ca225a","l",1,3,4,2,3,1,"c","a",2,5,"a"
"Myriapora.truncata","l243333ab321e","l",2,4,3,3,3,3,"a","b",3,1,"e"
"Corallium.rubrum","l254433ad421c","l",2,5,4,4,3,3,"a","d",5,1,"c"
"Eunicella.cavolinii","l255533ad523c","l",2,5,5,5,3,3,"a","d",5,3,"c"
"Paramuricea.clavata","l255533ad523c","l",2,5,5,5,3,3,"a","d",5,3,"c"
